run_name,experiment_mode,ticker,signal_date,execution_date,window_end,target_position,stock_return,benchmark_return,agent_return,action,return_evidence_score,return_evidence_source,trend_strength,reward_risk_score,catalyst_strength,drawdown_risk,data_quality,raw_position,position_gap_source,constraint_rules,stock_excess_vs_benchmark,agent_excess_vs_benchmark,missed_upside,stock_excess,agent_excess,downside_protection,wrong_exposure,decision_quality_score,case_type
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-04-17,2026-04-20,2026-04-24,0.65,-0.005147338161346604,0.008606534175761293,-0.0032265879174434575,持有,,,,,,,,0.65,upstream_raw_low,,-0.013753872337107897,-0.011833122093204751,0.0,-0.013753872337107897,-0.011833122093204751,0.0019207502439031465,0.0019207502439031465,0.3264041980015123,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-04-24,2026-04-27,2026-04-30,0.45,-0.027085619614896972,0.00795459320691494,-0.017391598865549307,持有,,,,,,,,0.45,upstream_raw_low,,-0.03504021282181191,-0.025346192072464246,0.0,-0.03504021282181191,-0.025346192072464246,0.009694020749347665,0.0,0.49999112425950193,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-05-01,2026-05-06,2026-05-08,0.3,-0.01547640796781291,0.013438890818116667,-0.0057469946764706625,持有,,,,,,,,0.3,upstream_raw_low,,-0.028915298785929577,-0.01918588549458733,0.0,-0.028915298785929577,-0.01918588549458733,0.009729413291342248,0.0,0.6619267407279823,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-05-08,2026-05-11,2026-05-15,0.25,0.00878177531316826,-0.0025286318031906285,0.005643796887925268,持有,,,,,,,,0.25,upstream_raw_low,,0.01131040711635889,0.008172428691115896,0.003137978425242993,0.01131040711635889,0.008172428691115896,0.0,0.0,0.2663216085987933,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-05-15,2026-05-18,2026-05-22,0.6,-0.03738320351481628,-0.00298322998544831,-0.03783134732187754,买入,,,,,,,,0.6,upstream_raw_low,,-0.034399973529367966,-0.03484811733642923,0.0004481438070612631,-0.034399973529367966,-0.03484811733642923,0.0,0.0,0.3320549647185662,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-05-22,2026-05-25,2026-05-29,0.35,0.019519562219757258,0.009705759914492074,-0.002618034205552955,持有,,,,,,,,0.35,upstream_raw_low,,0.009813802305265185,-0.012323794120045028,0.022137596425310213,0.009813802305265185,-0.012323794120045028,0.0,0.0,0.3254319611443044,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-05-29,2026-06-01,2026-06-05,0.4,-0.042505519945506554,-0.015371870761965667,-0.024744921151356403,持有,,,,,,,,0.4,upstream_raw_low,,-0.027133649183540887,-0.009373050389390736,0.0,-0.027133649183540887,-0.009373050389390736,0.01776059879415015,0.0,0.581288954702739,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-06-05,2026-06-08,2026-06-12,0.4,0.055507251371036626,-0.008220869366847738,0.012278245957856981,持有,,,,,,,,0.4,upstream_raw_low,,0.06372812073788436,0.02049911532470472,0.043229005413179644,0.06372812073788436,0.02049911532470472,0.0,0.0,0.4406346107000266,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-06-12,2026-06-15,2026-06-18,0.3,0.011278134686377062,0.0343870506345183,-0.0005467376056321749,持有,,,,,,,,0.3,upstream_raw_low,,-0.02310891594814124,-0.034933788240150476,0.011824872292009236,-0.02310891594814124,-0.034933788240150476,0.0,0.0,0.6318963085562531,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-06-19,2026-06-22,2026-06-26,0.3,-0.013978979596315999,-0.014849026476583815,0.0015572402087213888,持有,,,,,,,,0.3,upstream_raw_low,,0.0008700468802678163,0.016406266685305204,0.0,0.0008700468802678163,0.016406266685305204,0.015536219805037388,0.0,0.3326254065858369,neutral
hengrui_weekly_2026q2_forecast,multi_agent_full_debate,600276,2026-06-26,2026-06-29,2026-06-30,0.6,-0.016814649244606295,0.02284443957827631,0.0391483110217663,买入,,,,,,,,0.6,upstream_raw_low,,-0.039659088822882604,0.016303871443489992,0.0,-0.039659088822882604,0.016303871443489992,0.0559629602663726,0.0,0.4324240823453439,neutral
